Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
Ivp frozen  co treated skin on fillets pacific lane snapper 14-16 oz 10lb box,PLS1410100,code128,,PE16,LB,LB,LB,10,11.36,10,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Fresh pacific lane snapper 1.0-1.5 lb 30lb box,PLS1501300,code128,,PE16,LB,LB,LB,30,30,30,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Fresh pacific lane snapper 1.0-1.5 lb 80lb box,PLS1501800,code128,,PE16,LB,LB,LB,80,80,80,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Ivp frozen co treated ggs pacific lane snapper 1.0-1.5lb 20lb box,PLS1506200,code128,,PE16,LB,LB,LB,20,20,20,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Ivp frozen ggs pacific lane snapper 1.0-1.5 lbs 20lb box,PLS1532200,code128,,PE16,LB,LB,LB,20,20,20,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Ivp frozen  co treated skin on fillets pacific lane snapper 16-20 oz 10lb box,PLS1610100,code128,,PE16,LB,LB,LB,10,10,10,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Fresh pacific lane snapper 2-4 lb 30lb box,PLS2401300,code128,,PE16,LB,LB,LB,30,30,30,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Fresh pacific lane snapper 2-4 lb 80lb box,PLS2401800,code128,,PE16,LB,LB,LB,80,80,80,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Frozen minutas pacific lane snapper 3-5 oz 20lb box,PLS3516200,code128,,PE16,LB,LB,LB,20,20,20,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Fresh pacific lane snapper 4-6 lb 30lb box,PLS4601300,code128,,PE16,LB,LB,LB,30,30,30,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Fresh pacific lane snapper 4-6 lb 80lb box,PLS4601800,code128,,PE16,LB,LB,LB,80,80,80,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Ivp frozen co treated skinless fillets  pacific lane snapper 4-6 oz 10lb box,PLS4609100,code128,,PE16,LB,LB,LB,10,11.36,10,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Ivp frozen  co treated skin on fillets pacific lane snapper 4-6 oz 10lb box,PLS4610100,code128,,PE16,LB,LB,LB,10,11.36,10,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Fresh pacific lane snapper 1.5-2.0 lb 30lb box,PLS5201300,code128,,PE16,LB,LB,LB,30,30,30,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Fresh pacific lane snapper 1.5-2.0 lb 80lb box,PLS5201800,code128,,PE16,LB,LB,LB,80,80,80,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Ivp frozen wg co treated pacific lane snapper 1.5-2.0 lb 20lb box,PLS5212100,code128,,PE16,LB,LB,LB,20,20,20,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Ivp fresh skin on pacific lane snapper fillets 16-20oz 20lb box,PLS6237200,code128,,PE16,LB,LB,LB,20,20,20,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Ivp frozen co treated skinless fillets  pacific lane snapper 6-8 oz 10lb box,PLS6809100,code128,,PE16,LB,LB,LB,10,11.36,10,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Ivp frozen  co treated skin on fillets pacific lane snapper 6-8 oz 10lb box,PLS6810100,code128,,PE16,LB,LB,LB,10,11.36,10,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Ivp frozen co treated skinless fillets pacific lane snapper 8-10 oz 10lb box,PLS8109100,code128,,PE16,LB,LB,LB,10,11.36,10,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Ivp fresh skin on pacific lane snapper fillets 8-16oz 20lb box,PLS8137200,code128,,PE16,LB,LB,LB,20,20,20,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Ivp frozen  co treated skin on fillets pacific lane snapper 8-10 oz 10lb box,PLS8210100,code128,,PE16,LB,LB,LB,10,11.36,10,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Ivp frozen co treated diamond cut pacific lane snapper 8-10 onz 10lb box,PLS8238100,code128,,PE16,LB,LB,LB,10,10,10,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
