Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
P&D CARIBBEAN WHITE SHRIMP 71-90 40LB MASTER PACIFIC PEARL,CWH7920404,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,40,40,,,,,,,,
FRESH CARIBBEAN YELLOW EYE SNAPPER U-1/2 LB 30LB BOX,CYE0101300,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,30,30,,,,,,,,
FRESH CARIBBEAN YELLOW EYE SNAPPER U-1/2 LB 80LB BOX,CYE0101800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,80,80,,,,,,,,
FRESH CARIBBEAN YELLOW EYE SNAPPER 10-UP LB 30LB BOX,CYE1001300,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,30,30,,,,,,,,
FRESH CARIBBEAN YELLOW EYE SNAPPER 10-UP LB 80LB BOX,CYE1001800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,80,80,,,,,,,,
FRESH CARIBBEAN YELLOW EYE SNAPPER 1/2-1 LB 30LB BOX,CYE1101300,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,30,30,,,,,,,,
FRESH CARIBBEAN YELLOW EYE SNAPPER 1/2-1 LB 80LB BOX,CYE1101800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,80,80,,,,,,,,
FRESH CARIBBEAN YELLOW EYE SNAPPER 1-2 LB 30LB BOX,CYE1201300,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,30,30,,,,,,,,
FRESH CARIBBEAN YELLOW EYE SNAPPER 1-2 LB 80LB BOX,CYE1201800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,80,80,,,,,,,,
FRESH CARIBBEAN YELLOW EYE SNAPPER 2-4 LB 30LB BOX,CYE2401300,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,30,30,,,,,,,,
